,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,0.7749999999999306,1.666666666666653,1.666666666666653
1,SAMPL8-2,1.7899999999999245,2.5966666666666343,2.5966666666666343
2,SAMPL8-3,1.0666666666665954,1.633333333333305,1.633333333333305
3,SAMPL8-4,-0.6366666666667378,2.656666666666682,2.656666666666682
4,SAMPL8-5,0.696666666666597,1.2766666666666397,1.2766666666666397
5,SAMPL8-8,0.08666666666660339,1.7666666666666604,1.7666666666666604
6,SAMPL8-10,-0.7433333333334113,1.4366666666666885,1.4366666666666885
7,SAMPL8-14,3.246666666666576,3.246666666666576,3.246666666666576
8,SAMPL8-15,0.5933333333332689,1.9333333333333265,1.9333333333333265
9,SAMPL8-16,0.09999999999992859,1.600000000000018,1.600000000000018
10,SAMPL8-17,5.2699999999999045,6.063333333333261,6.063333333333261
11,SAMPL8-20,-4.190000000000063,5.293333333333372,5.293333333333372
12,SAMPL8-21,4.753333333333244,4.753333333333244,4.753333333333244
13,SAMPL8-22,9.606666666666586,9.606666666666586,9.606666666666586
