,Submission,R-squared,Slope,Kendall Tau
0,pKa-3DS-1,0.7834943477469948,1.0137866774745936,0.6083798799280435
1,pKa-RobertRaddi_AdaBoost,0.02927004955589373,0.2618137625625803,0.026913125683807732
2,pKa-3DS-2,0.7536231507883856,1.1538261805405876,0.5839454948814495
3,pKa-3DS-3,0.7552485515279517,0.9351327184830505,0.5865219201701498
4,pKa_SabatinoRodriguezPaluch_uESE,0.04551592065531991,0.32120863384931336,0.2647219842825437
5,pKa-RobertRaddi_DeepGP,0.04757007716520839,0.41016216074250195,0.07705141285294194
6,pKa-ZhiyiWu-1,-0.00820901109920531,-0.058356259397499374,0.21404545767263877
7,pKa-RobertRaddi_RF,0.03412671510204557,0.3109478646676795,0.06139106381413451
8,PKA_ECRISM,0.8477227975324197,1.1469468690328275,0.6423400443695945
9,pKa-RobertRaddi_XGBoost,0.039429067693559264,0.35750035963429105,0.06906494679090133
10,pKa_Chemaxon,-0.05804112161070563,-0.23184025910382575,0.615401130013483
11,pKa_SabatinoRodriguezPaluch_uESE_extra,0.6422746474157303,1.6417529142315437,0.5236363636363636
