microstate ID,canonical isomeric SMILES
SAMPL8-20_micro000,c1ccc(cc1)c2c(cc3c(=N)[nH][nH]c3n2)Cl
SAMPL8-20_micro001,c1ccc(cc1)c2c(cc-3c(=N)[nH]nc3[nH]2)Cl
SAMPL8-20_micro002,c1ccc(cc1)c2c(cc-3c(n[nH+]c3[nH]2)N)Cl
SAMPL8-20_micro003,c1ccc(cc1)c2c(cc3c([nH+][nH]c3n2)N)Cl
SAMPL8-20_micro004,c1ccc(cc1)C2=NC3=NN=C(C3=CC2Cl)N
SAMPL8-20_micro005,c1ccc(cc1)C2=C(CC3C(=[NH2+])N=NC3=N2)Cl
SAMPL8-20_micro006,c1ccc(cc1)c2c(cc-3c([nH+]nc3[nH]2)N)Cl
SAMPL8-20_micro007,c1ccc(cc1)C2=NC3=NNC(=[NH2+])C3C=C2Cl
SAMPL8-20_micro008,c1ccc(cc1)C2C(C=C3C(=N)N=NC3=N2)Cl
SAMPL8-20_micro009,c1ccc(cc1)C2=NC3=NNC(=N)C3=CC2Cl
SAMPL8-20_micro010,c1ccc(cc1)C2=C(CC3=C(N=NC3=N2)N)Cl
SAMPL8-20_micro011,c1ccc(cc1)c2c(cc3c([nH]nc3n2)[NH3+])Cl
SAMPL8-20_micro012,c1ccc(cc1)C2=C(CC3=C(N2)N=NC3=N)Cl
SAMPL8-20_micro013,c1ccc(cc1)C2=NC3=NNC(=N)C3C=C2Cl
SAMPL8-20_micro014,c1ccc(cc1)C2=NC3=C(CC2Cl)C(=[NH2+])N=N3
SAMPL8-20_micro015,c1ccc(cc1)c2c(cc-3c(nnc3[nH]2)[NH3+])Cl
SAMPL8-20_micro016,c1ccc(cc1)c2c(cc-3c(=N)[nH][nH+]c3[nH]2)Cl
SAMPL8-20_micro017,c1ccc(cc1)c2c(cc3c([nH]nc3n2)N)Cl
SAMPL8-20_micro018,c1ccc(cc1)c2c(cc-3c(nnc3[nH]2)N)Cl
SAMPL8-20_micro019,c1ccc(cc1)C2C(=CC3=C(N=NC3=N2)N)Cl
SAMPL8-20_micro020,c1ccc(cc1)C2C(=CC3C(=N)N=NC3=N2)Cl
SAMPL8-20_micro021,c1ccc(cc1)C2=NC3=NN=C(C3C=C2Cl)N
SAMPL8-20_micro022,c1ccc(cc1)c2c(cc3c(n[nH]c3n2)N)Cl
SAMPL8-20_micro023,c1ccc(cc1)C2C(=CC3=C(N2)N=NC3=N)Cl
SAMPL8-20_micro024,c1ccc(cc1)C2=NC3=C(CC2Cl)C(=N)N=N3
SAMPL8-20_micro025,c1ccc(cc1)C2=C(CC3=C(N2)N=NC3=[NH2+])Cl
SAMPL8-20_micro026,c1ccc(cc1)c2c(cc3c(n[nH]c3n2)[NH3+])Cl
SAMPL8-20_micro027,c1ccc(cc1)C2=C(CC3C(=N)N=NC3=N2)Cl
SAMPL8-20_micro028,c1ccc(cc1)C2=C(CC3=C(N=NC3=N2)[NH3+])Cl
