microstate ID,canonical isomeric SMILES
SAMPL8-14_micro000,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(=N)[nH]c2N
SAMPL8-14_micro001,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=N)[n-]c2N
SAMPL8-14_micro002,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([nH]c2=N)N
SAMPL8-14_micro003,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[n-]c(nc2=N)N
SAMPL8-14_micro004,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH+]c(nc2[NH-])[NH-]
SAMPL8-14_micro005,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(nc2N)[NH-]
SAMPL8-14_micro006,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)[nH]c2=N
SAMPL8-14_micro007,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc([nH]c2=N)[NH-]
SAMPL8-14_micro008,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(nc2N)N
SAMPL8-14_micro09,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)[n-]c2=N
SAMPL8-14_micro010,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[n-]c(nc2=N)N
SAMPL8-14_micro011,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=[NH2+])[n-]c2[NH-]
SAMPL8-14_micro012,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([n-]c2=[NH2+])[NH-]
SAMPL8-14_micro013,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)nc2N
SAMPL8-14_micro014,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=N)[n-]c2[NH-]
SAMPL8-14_micro015,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[n-]c([nH+]c2=N)[NH-]
SAMPL8-14_micro016,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(=N)[nH]c2N
SAMPL8-14_micro017,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(nc2=N)N
SAMPL8-14_micro018,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([n-]c2=N)[NH-]
SAMPL8-14_micro019,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(=[NH2+])[n-]c2[NH-]
SAMPL8-14_micro020,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(=N)[n-]c2=N
SAMPL8-14_micro021,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([nH]c2=N)[NH-]
SAMPL8-14_micro022,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(nc2=N)N
SAMPL8-14_micro023,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc([nH]c2=N)N
SAMPL8-14_micro024,Cc1cc(cc(c1O)C(C)(C)C)Cc2cnc(nc2N)N
SAMPL8-14_micro025,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[n-]c([nH+]c2=N)[NH-]
SAMPL8-14_micro026,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH+]c(=N)[n-]c2[NH-]
SAMPL8-14_micro027,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(=N)[nH]c2=N
SAMPL8-14_micro028,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2c[nH]c(=N)nc2N
SAMPL8-14_micro029,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc(=N)[nH]c2N
SAMPL8-14_micro030,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(nc2=N)N
SAMPL8-14_micro031,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc([n-]c2=[NH2+])[NH-]
SAMPL8-14_micro032,Cc1cc(cc(c1[O-])C(C)(C)C)Cc2cnc([nH]c2=N)N
SAMPL8-14_micro033,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)nc2N
SAMPL8-14_micro034,Cc1cc(cc(c1O)C(C)(C)C)Cc2c[nH]c(=N)[nH]c2=N
