,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,0.866666666666597,1.7033333333333245,1.703333333333325
1,SAMPL8-2,1.2316666666665932,2.188333333333303,2.1883333333333024
2,SAMPL8-3,0.7249999999999299,1.391666666666639,1.391666666666639
3,SAMPL8-4,-0.9116666666667368,2.8100000000000267,2.8100000000000267
4,SAMPL8-5,-0.45333333333339887,2.053333333333337,2.053333333333337
5,SAMPL8-7,4.578333333333258,4.849999999999936,4.849999999999936
6,SAMPL8-8,0.7283333333332679,1.7316666666666396,1.7316666666666396
7,SAMPL8-9,5.078333333333258,5.4416666666666025,5.4416666666666025
8,SAMPL8-10,-0.5850000000000786,1.326666666666675,1.326666666666675
9,SAMPL8-12,7.9866666666665855,7.9866666666665855,7.9866666666665855
10,SAMPL8-14,2.396666666666579,3.153333333333269,3.15333333333327
11,SAMPL8-15,1.4183333333332657,2.3283333333333043,2.3283333333333043
12,SAMPL8-16,0.5999999999999268,1.5999999999999825,1.5999999999999825
13,SAMPL8-17,4.069999999999909,5.239999999999955,5.239999999999956
14,SAMPL8-18,7.321666666666586,7.321666666666586,7.321666666666586
15,SAMPL8-20,-2.8566666666667335,5.000000000000024,5.000000000000024
16,SAMPL8-21,3.2699999999999165,4.543333333333281,4.543333333333281
17,SAMPL8-22,8.63166666666658,8.63166666666658,8.63166666666658
