,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
0,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-10,0,5.599999999999927,7.71,2.110000000000073
1,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-12,-1,19.09999999999988,6.98,12.11999999999988
2,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-14,-2,11.599999999999905,7.27,4.329999999999906
3,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-14,-1,11.499999999999906,7.27,4.229999999999906
4,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-15,0,4.299999999999931,2.54,1.7599999999999314
5,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-16,0,4.69999999999993,5.1,0.40000000000006963
6,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-17,-1,12.299999999999903,6.58,5.719999999999903
7,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-17,0,4.499999999999931,6.58,2.0800000000000693
8,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-18,-1,9.599999999999913,2.72,6.879999999999912
9,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-18,0,4.199999999999932,2.72,1.4799999999999316
10,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,-1,11.099999999999907,4.93,6.169999999999908
11,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,-1,11.099999999999907,6.99,4.109999999999907
12,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,0,0.6999999999999442,4.93,4.2300000000000555
13,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,0,0.6999999999999442,6.99,6.290000000000056
14,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,1,-0.9000000000000501,4.93,5.83000000000005
15,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,1,-0.9000000000000501,6.99,7.89000000000005
16,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-1,-1,4.099999999999932,2.54,1.559999999999932
17,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-1,-1,4.099999999999932,5.01,0.9100000000000676
18,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-20,0,1.3999999999999417,2.44,1.0400000000000582
19,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-21,-3,19.899999999999878,5.38,14.519999999999879
20,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-21,-2,16.29999999999989,5.38,10.919999999999892
21,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-21,-1,13.699999999999898,5.38,8.319999999999897
22,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-22,-1,13.899999999999897,3.36,10.539999999999898
23,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,-1,9.999999999999911,2.65,7.349999999999911
24,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,-1,9.999999999999911,9.02,0.9799999999999116
25,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,0,3.299999999999935,2.65,0.6499999999999351
26,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,0,3.299999999999935,9.02,5.720000000000065
27,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-2,-1,6.099999999999925,4.41,1.689999999999925
28,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-3,-2,8.799999999999915,4.0,4.7999999999999154
29,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-3,-1,6.699999999999923,4.0,2.699999999999923
30,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-4,-1,6.499999999999924,5.77,0.729999999999924
31,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-4,0,-5.3290705182007514e-14,5.77,5.770000000000053
