,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,1.92083333333329,5.195833333333363,7.092943676640897
1,SAMPL8-2,1.2316666666665932,2.188333333333303,2.86637401606974
2,SAMPL8-3,0.7249999999999299,1.391666666666639,1.7066048165875665
3,SAMPL8-4,-0.9116666666667368,2.8100000000000267,3.146993274010405
4,SAMPL8-5,-0.45333333333339887,2.053333333333337,2.512846990964634
5,SAMPL8-6,-1.1783333333333972,1.8150000000000162,2.4040036050999283
6,SAMPL8-7,3.2116666666666127,3.8383333333333027,4.672319195717105
7,SAMPL8-8,0.7283333333332679,1.7316666666666396,1.8707128765971943
8,SAMPL8-9,2.778333333333283,3.2950000000000106,4.677595536170263
9,SAMPL8-10,-0.5850000000000786,1.3266666666666753,1.5239531926320478
10,SAMPL8-12,3.5116666666666263,4.284999999999997,5.096001700679987
11,SAMPL8-14,-3.4283333333333723,4.448333333333317,5.276131790115427
12,SAMPL8-15,1.4183333333332657,2.3283333333333043,2.588583911459399
13,SAMPL8-16,0.5999999999999268,1.5999999999999825,1.7781076082921863
14,SAMPL8-17,1.9949999999999506,3.2950000000000106,4.428344310612421
15,SAMPL8-18,4.046666666666623,4.8766666666666625,6.680523931549077
16,SAMPL8-19,0.439999999999924,1.6641666666666548,2.2484068433744877
17,SAMPL8-20,1.6433333333332658,2.6433333333333136,3.148322304550959
18,SAMPL8-21,4.703333333333297,5.1099999999999985,6.235869359332876
19,SAMPL8-22,6.106666666666631,6.526666666666653,7.816132888668999
20,SAMPL8-23,0.16083333333325903,1.4541666666666613,1.9661595391354398
